Error Rate,Average Evals,Time to test,Average Time,Model Weights,Layers,Epocs,Hidden Dimensions
0.801148930908352,2.496249490630178,0.6433517932891846,7.706657801739154e-05,test1_model_weights.pth,2,10,256
0.599258231339332,2.346099335212969,0.6596779823303223,7.902227866918091e-05,test2_model_weights.pth,2,10,512
0.5537508658299946,2.3871731547792505,0.81467604637146,9.758936827640872e-05,test3_model_weights.pth,2,10,1024
0.4750368553291961,2.4774988505118682,0.62941575050354,7.539719100425732e-05,test4_model_weights.pth,2,25,256
0.4851704867921469,2.5254810658108604,0.6501040458679199,7.787542475657881e-05,test5_model_weights.pth,2,25,512
0.40705301413651784,2.4345354108685635,0.935333251953125,0.00011204279491532403,test6_model_weights.pth,2,25,1024
0.4275462220053345,2.429252944027208,0.6510529518127441,7.79890934131222e-05,test7_model_weights.pth,2,30,256
0.3735253060060229,2.4403548719232906,0.6454901695251465,7.732273233410955e-05,test8_model_weights.pth,2,30,512
0.3257739819917443,2.4863429802772687,0.7688469886779785,9.20995434448944e-05,test9_model_weights.pth,2,30,1024
0.6455098136429261,2.5522503733316326,0.6717367172241211,8.046689876598436e-05,test10_model_weights.pth,3,10,256
0.6468421101528525,2.5003667724304077,0.7252578735351562,8.687803947474321e-05,test11_model_weights.pth,3,10,512
0.6450226066520093,2.3407381076910023,1.0534179210662842,0.00012618805954315814,test12_model_weights.pth,3,10,1024
0.5467532627949399,2.463029490983619,0.6804380416870117,8.150910897065305e-05,test13_model_weights.pth,3,25,256
0.44796701041245324,2.575854565678267,0.7368550300598145,8.826725324147274e-05,test14_model_weights.pth,3,25,512
0.383606619662214,2.388438849382939,1.1323001384735107,0.0001356372949776606,test15_model_weights.pth,3,25,1024
0.4238020586680628,2.484590187365797,0.6749711036682129,8.085422899715056e-05,test16_model_weights.pth,3,30,256
0.4179233678587762,2.445727791680915,0.7399301528930664,8.86356196565724e-05,test17_model_weights.pth,3,30,512
0.3500048851138442,2.462043986956767,1.0239789485931396,0.0001226615894337733,test18_model_weights.pth,3,30,1024
0.7212244750510084,2.526955280501998,0.7365767955780029,8.823392376353652e-05,test19_model_weights.pth,4,10,256
0.8777390001901461,2.614423282630117,0.853410005569458,0.00010222927714056756,test20_model_weights.pth,4,10,512
0.5871179460821958,2.4363420922228833,1.807433843612671,0.0002165110018702289,test21_model_weights.pth,4,10,1024
0.5278564267175881,2.619092792206969,0.7100081443786621,8.505128706021347e-05,test22_model_weights.pth,4,25,256
0.37967865267912276,2.358274270415799,0.8529260158538818,0.00010217130041373764,test23_model_weights.pth,4,25,512
0.40002157753954076,2.5599645112535616,1.8626549243927002,0.00022312588936184718,test24_model_weights.pth,4,25,1024
0.5162739314119201,2.5489177595134325,0.7198159694671631,8.622615829745605e-05,test25_model_weights.pth,4,30,256
0.3782362889521854,2.4358291485778376,0.8309149742126465,9.953461598139032e-05,test26_model_weights.pth,4,30,512
0.38919666888915994,2.3809685591036196,2.300938606262207,0.0002756275283016539,test27_model_weights.pth,4,30,1024
0.7311747848222602,2.5659522385395364,0.8042590618133545,9.634152633125952e-05,test28_model_weights.pth,5,10,256
0.6525610115907774,2.5380689434664117,0.9321238994598389,0.00011165834924051736,test29_model_weights.pth,5,10,512
0.7204725486590238,2.0743027799740474,3.7923779487609863,0.00045428592506412347,test30_model_weights.pth,5,10,1024
0.4448308585655574,2.4464950479708065,0.8023879528045654,9.611738773413577e-05,test31_model_weights.pth,5,25,256
0.42396752140394917,2.419515584246088,0.9327661991119385,0.0001117352897834138,test32_model_weights.pth,5,25,512
0.4998246240794789,2.697529279460678,3.596579074859619,0.0004308312260253497,test33_model_weights.pth,5,25,1024
0.4363620808639084,2.5199008604637014,0.8173990249633789,9.791555162474592e-05,test34_model_weights.pth,5,30,256
0.41182107086946224,2.3473472574468706,0.9326238632202148,0.0001117182394849323,test35_model_weights.pth,5,30,512
0.6296782126839829,2.753033179377782,3.5396459102630615,0.0004240112494325661,test36_model_weights.pth,5,30,1024
1.0199493432785587,2.5767387859158766,0.8820741176605225,0.0001056629273670966,test37_model_weights.pth,6,10,256
0.6373099842317659,2.2199150463590587,1.0181300640106201,0.0001219609563980139,test38_model_weights.pth,6,10,512
0.7454987615307177,2.311399432650451,4.508532762527466,0.0005400734023152211,test39_model_weights.pth,6,10,1024
0.46327032556886827,2.2373145489936053,0.8667280673980713,0.00010382463672712881,test40_model_weights.pth,6,25,256
0.4520812432077028,2.2823279798834104,1.0047078132629395,0.00012035311610720406,test41_model_weights.pth,6,25,512
0.4399633618260861,2.414281080696829,4.56984806060791,0.0005474183110455092,test42_model_weights.pth,6,25,1024
0.5014570211477041,2.486494931050991,0.8649439811706543,0.00010361092251684886,test43_model_weights.pth,6,30,256
0.46690148527226677,2.208600008817837,1.0036537647247314,0.00012022685250655623,test44_model_weights.pth,6,30,512
0.36703195863504895,2.3377981289623686,4.709137201309204,0.0005641036417476287,test45_model_weights.pth,6,30,1024
0.7588414099711512,2.260882209812746,0.927034854888916,0.00011104873680988452,test46_model_weights.pth,7,10,256
0.9206268963788781,2.7589200518946786,1.1014630794525146,0.00013194334923963998,test47_model_weights.pth,7,10,512
0.6177070158236772,2.244769928421536,5.173331022262573,0.000619709034770313,test48_model_weights.pth,7,10,1024
0.6016059017175338,2.673292018372296,0.9226329326629639,0.0001105214341953718,test49_model_weights.pth,7,25,256
0.650335708719423,2.6436048879939213,1.1042749881744385,0.00013228018545453265,test50_model_weights.pth,7,25,512
0.5876547819367953,2.5828582576012384,5.267681121826172,0.0006310111549863646,test51_model_weights.pth,7,25,1024
0.6149666081855676,2.731384347629375,0.9228408336639404,0.00011054633848394112,test52_model_weights.pth,7,30,256
0.40086962115304353,2.515262273796015,1.111048936843872,0.00013309163115043988,test53_model_weights.pth,7,30,512
0.37795840013039506,2.5858649955948643,5.13775110244751,0.0006154469456693232,test54_model_weights.pth,7,30,1024
0.7835303099971526,2.582162500432526,1.076157808303833,0.0001289120517853178,test55_model_weights.pth,10,10,256
0.7668567578708162,2.3873947772196757,1.3295581340789795,0.000159266666755987,test56_model_weights.pth,10,10,512
0.6879913353472223,2.300660779661529,7.1561009883880615,0.0008572234054130404,test57_model_weights.pth,10,10,1024
0.7613118725765204,2.765588452227353,1.1131770610809326,0.0001333465573887078,test58_model_weights.pth,10,25,256
0.6704571801915981,2.240763205859969,1.4025988578796387,0.00016801615451361268,test59_model_weights.pth,10,25,512
0.5148837616415622,2.5673256045101174,7.447951793670654,0.0008921839714507253,test60_model_weights.pth,10,25,1024
0.42967664356194785,2.4785683226477575,1.247209072113037,0.0001494022551254616,test61_model_weights.pth,10,30,256
0.5033238104195193,2.3427996267294615,1.5975618362426758,0.00019137060807890223,test62_model_weights.pth,10,30,512
0.5065175777475946,2.418004789802451,6.813611030578613,0.0008161969315108924,test63_model_weights.pth,10,30,1024
0.8496453849092522,2.4025885609545754,0.5943548679351807,7.119727694479883e-05,test64_model_weights.pth,1,10,512
0.7292385158033645,2.4177545532682925,0.6384668350219727,7.648141291590473e-05,test65_model_weights.pth,1,10,1024
0.6035170068473711,2.4293228487249205,0.6494216918945312,7.77936861397378e-05,test66_model_weights.pth,2,10,512
0.5676773641251235,2.452232689367117,0.7967579364776611,9.544297274528762e-05,test67_model_weights.pth,2,10,1024
0.775252605584689,2.322531866767387,1.1961078643798828,0.00014328076957114072,test68_model_weights.pth,8,10,512
0.6688197610130863,2.514993647077854,6.256130933761597,0.0007494168813912904,test69_model_weights.pth,8,10,1024
0.9426921231531304,2.142792829170254,1.3288629055023193,0.0001591833859010924,test70_model_weights.pth,9,10,512
0.7111706142392933,2.265683980817069,6.720968961715698,0.0008050993006367631,test71_model_weights.pth,9,10,1024
0.31701505089226084,2.4542770238551275,0.6943490505218506,8.317561142742776e-05,test72_model_weights.pth,2,50,512
0.29581681637879803,2.43899369827116,0.7973599433898926,9.55152008941314e-05,test73_model_weights.pth,2,50,1024
0.2844339967778187,2.511241076354702,3.8358261585235596,0.0004594904358557211,test74_model_weights.pth,2,50,2048
0.2544397605021468,2.448259383040736,11.516481876373291,0.0013795498174860195,test75_model_weights.pth,2,50,4096
0.24303004488495283,2.374759817948216,0.7457432746887207,8.933196869773847e-05,test76_model_weights.pth,3,50,512
0.2732330606741874,2.395114405629563,1.0570158958435059,0.00012661905795921248,test77_model_weights.pth,3,50,1024
0.25723153239755314,2.395216284450342,6.506827116012573,0.0007794474264509551,test78_model_weights.pth,3,50,2048
0.4159993299024513,2.4021949195162455,21.24181580543518,0.002544539507119691,test79_model_weights.pth,3,50,4096
0.32180213270729063,2.341791125231162,0.9990029335021973,0.00011966973328967385,test80_model_weights.pth,5,50,512
0.2500046566049034,2.3753702441553055,4.154282093048096,0.0004976380082712141,test81_model_weights.pth,5,50,1024
0.21152299597783478,2.4994446599227254,11.38295316696167,0.0013635545240730318,test82_model_weights.pth,5,50,2048
0.2883083018469858,2.4374521128420734,41.0015332698822,0.0049115396825445854,test83_model_weights.pth,5,50,4096
0.2832887869635476,2.379576484883355,1.0121700763702393,0.00012124701441905118,test84_model_weights.pth,6,50,512
0.3370095196104334,2.5213885014124178,4.487648963928223,0.000537571749392456,test85_model_weights.pth,6,50,1024
0.28781141162997664,2.3296024467482375,13.727285861968994,0.0016443805370138888,test86_model_weights.pth,6,50,2048
